domain_name,domain_id,counter_site,counter_site_id,latitude,longitude
Stadt Tübingen,667,Fuß- & Radtunnel Südportal - Derendinger Allee,100003358,48.518,9.04806
Stadt Tübingen,667,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359,48.515434,9.058865
Stadt Karlsruhe,752,Erbprinzenstraße,100004165,49.0072864,8.4027153
Stadt Freiburg,751,Wiwilibrücke,100004595,47.995213,7.8407526
Stadt Lörrach,3938,Berliner Platz,100008949,47.61974,7.65936
Stadt Heilbronn,4100,Neckarufer,100011532,49.139652,9.214609
Stadt Mannheim,4197,Renzstraße,100013246,49.49027,8.481114
Stadt Kirchheim Unter Teck,4138,Barometer Kirchheim u. Teck,100013457,48.64519,9.451567
Stadt Freiburg,751,FR2 Güterbahn / Ferd.-Weiß-Str.,100014511,47.998592,7.8220816
Stadt Freiburg,751,FR1 Dreisam / Otto-Wels-Str.,100014585,47.99054,7.8623013
Stadt Freiburg,751,FR3 Eschholzstr. / Egonstr. einzeln,100017109,47.99984,7.83717
Landeshauptstadt Stuttgart,607,König-Karls-Brücke Barometer,100034882,48.79912609299229,9.210372161982697
Landeshauptstadt Stuttgart,607,Böblinger Straße,100034894,48.74661091153218,9.135662267916839
Stadt Heidelberg,4206,Ernst-Walz-Brücke Querschnitt,100048811,49.40953402601704,8.676711154365599
Stadt Heidelberg,4206,Ernst-Walz-Brücke West - alt,100050030,49.410425822073066,8.676603857406642
