time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),snow_depth (m),snowfall (cm),weather_code (wmo code),cloud_cover (%),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%),wind_speed_10m (km/h),wind_direction_100m (°),wind_direction_10m (°),wind_speed_100m (km/h),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),pressure_msl (hPa),surface_pressure (hPa)
2019-12-01T00:00,-1.4,0.00,91,-2.7,-5.3,0.00,0.00,0.00,3,99,99,0,0,9.8,86,66,23.1,20.5,0,0.00,1021.7,957.0
2019-12-01T01:00,-1.8,0.00,88,-3.5,-5.5,0.00,0.00,0.00,3,100,100,0,0,7.3,104,70,16.7,18.4,0,0.00,1021.8,957.0
2019-12-01T02:00,-0.9,0.00,84,-3.2,-4.8,0.00,0.00,0.00,3,100,100,0,0,9.7,93,68,20.9,16.9,0,0.00,1021.2,956.6
2019-12-01T03:00,-1.0,0.00,84,-3.5,-4.8,0.00,0.00,0.00,3,100,100,0,0,8.1,85,58,19.9,20.5,0,0.00,1020.6,956.0
2019-12-01T04:00,-1.1,0.00,83,-3.6,-4.7,0.00,0.00,0.00,3,100,100,0,0,6.6,97,61,15.6,14.4,0,0.00,1020.1,955.5
2019-12-01T05:00,-1.2,0.00,83,-3.8,-4.9,0.00,0.00,0.00,3,100,100,66,0,7.0,89,55,15.5,12.6,0,0.00,1019.2,954.7
2019-12-01T06:00,-0.9,0.00,80,-3.8,-4.9,0.00,0.00,0.00,3,100,100,92,0,9.5,85,65,18.8,16.6,0,0.00,1018.5,954.1
2019-12-01T07:00,-1.0,0.00,81,-3.8,-5.2,0.00,0.00,0.00,3,100,100,98,0,10.6,82,66,21.1,19.8,0,0.00,1017.8,953.4
2019-12-01T08:00,-0.7,0.00,80,-3.7,-4.5,0.00,0.00,0.00,3,100,100,100,0,7.7,86,62,15.9,20.5,1,0.00,1017.9,953.6
2019-12-01T09:00,-0.3,0.00,80,-3.5,-4.4,0.00,0.00,0.00,3,100,100,100,0,9.9,92,80,17.3,19.4,1,0.00,1017.8,953.5
2019-12-01T10:00,0.2,0.00,78,-3.2,-3.5,0.00,0.00,0.00,3,100,100,100,0,8.0,93,85,13.3,18.4,1,0.00,1017.8,953.7
2019-12-01T11:00,0.4,0.00,78,-3.0,-3.0,0.00,0.00,0.00,3,100,100,100,0,5.8,78,68,8.8,16.6,1,0.00,1017.6,953.5
2019-12-01T12:00,0.9,0.00,77,-2.6,-2.2,0.00,0.00,0.00,3,100,95,100,0,4.5,80,76,6.2,13.7,1,0.00,1017.6,953.6
2019-12-01T13:00,1.3,0.00,82,-1.4,-1.4,0.00,0.00,0.00,3,100,75,99,6,2.6,90,74,3.2,12.6,1,0.00,1017.8,953.9
2019-12-01T14:00,1.2,0.00,84,-1.2,-1.7,0.00,0.00,0.00,3,100,100,96,12,4.1,56,52,5.2,10.1,1,0.00,1017.7,953.8
2019-12-01T15:00,1.6,0.00,82,-1.1,-1.2,0.00,0.00,0.00,3,98,74,95,9,3.7,81,79,4.4,12.2,1,0.00,1017.6,953.8
2019-12-01T16:00,1.2,0.00,85,-1.0,-2.0,0.00,0.00,0.00,3,93,14,92,0,6.5,80,84,10.6,13.0,1,0.00,1017.4,953.5
2019-12-01T17:00,0.8,0.00,89,-0.9,-2.1,0.00,0.00,0.00,3,82,10,80,6,3.9,103,112,6.6,12.2,0,0.00,1017.9,953.9
2019-12-01T18:00,0.8,0.00,85,-1.4,-2.0,0.00,0.00,0.00,3,86,74,56,3,3.1,101,36,5.5,4.7,0,0.00,1017.4,953.4
2019-12-01T19:00,-0.9,0.00,92,-2.1,-3.9,0.00,0.00,0.00,3,88,78,52,1,4.0,81,10,4.4,5.8,0,0.00,1017.7,953.3
2019-12-01T20:00,-0.2,0.00,92,-1.3,-3.0,0.00,0.00,0.00,3,99,89,94,0,3.3,24,347,3.5,6.8,0,0.00,1017.9,953.7
2019-12-01T21:00,0.1,0.00,92,-1.1,-2.6,0.00,0.00,0.00,3,98,92,79,0,2.7,16,337,2.6,8.3,0,0.00,1017.9,953.7
2019-12-01T22:00,0.2,0.00,91,-1.1,-3.2,0.00,0.00,0.00,3,100,100,72,0,7.3,337,327,10.2,13.3,0,0.00,1018.4,954.2
2019-12-01T23:00,0.1,0.00,91,-1.2,-3.5,0.00,0.00,0.00,3,100,100,93,2,8.6,349,345,16.5,15.8,0,0.00,1018.9,954.7
2019-12-02T00:00,0.1,0.00,89,-1.5,-3.1,0.00,0.00,0.00,3,99,85,94,9,6.0,353,343,12.0,16.6,0,0.00,1019.6,955.3
2019-12-02T01:00,0.3,0.00,85,-2.0,-3.4,0.00,0.00,0.00,3,96,83,99,13,8.5,333,332,15.3,13.3,0,0.00,1020.0,955.8
2019-12-02T02:00,0.2,0.00,84,-2.2,-3.3,0.00,0.00,0.00,3,90,67,89,8,7.1,333,330,13.4,16.2,0,0.00,1020.3,956.0
2019-12-02T03:00,-0.5,0.00,86,-2.5,-4.3,0.00,0.00,0.00,3,96,85,95,41,9.3,337,332,18.1,16.9,0,0.00,1021.0,956.5
2019-12-02T04:00,-0.6,0.00,86,-2.5,-4.6,0.00,0.00,0.00,3,98,0,98,75,10.5,334,329,19.6,19.8,0,0.00,1021.8,957.2
2019-12-02T05:00,-0.2,0.00,85,-2.4,-4.2,0.00,0.00,0.00,3,97,0,97,71,10.0,338,334,18.3,20.5,0,0.00,1022.7,958.2
2019-12-02T06:00,-0.3,0.00,87,-2.2,-3.8,0.00,0.00,0.00,3,89,0,88,69,6.6,344,331,12.8,19.4,0,0.00,1022.7,958.1
2019-12-02T07:00,-0.4,0.00,88,-2.2,-4.1,0.00,0.00,0.00,3,93,0,93,52,8.9,344,333,15.7,15.8,0,0.00,1023.4,958.8
2019-12-02T08:00,-0.4,0.00,88,-2.2,-4.2,0.00,0.00,0.00,2,55,0,52,13,9.1,347,342,16.6,17.3,1,0.00,1024.4,959.7
2019-12-02T09:00,-0.6,0.00,91,-2.0,-4.3,0.00,0.00,0.00,2,53,0,5,52,8.8,348,341,15.5,17.3,1,1043.35,1025.3,960.5
2019-12-02T10:00,0.3,0.00,86,-1.7,-3.5,0.00,0.00,0.00,3,81,0,0,81,9.8,355,354,13.4,22.3,1,3600.00,1026.1,961.5
2019-12-02T11:00,1.0,0.00,79,-2.1,-2.7,0.00,0.00,0.00,1,48,0,0,48,9.0,5,5,12.6,23.0,1,3600.00,1026.9,962.4
2019-12-02T12:00,1.9,0.00,71,-2.8,-2.0,0.00,0.00,0.00,1,44,0,0,44,9.5,24,25,12.6,22.3,1,3600.00,1027.0,962.7
2019-12-02T13:00,2.5,0.00,66,-3.2,-1.4,0.00,0.00,0.00,2,55,0,1,69,9.2,23,26,12.1,22.7,1,3600.00,1027.4,963.2
2019-12-02T14:00,2.8,0.00,65,-3.2,-1.3,0.00,0.00,0.00,2,71,0,0,71,10.0,29,30,13.2,22.7,1,3600.00,1027.5,963.3
2019-12-02T15:00,2.5,0.00,67,-3.0,-1.3,0.00,0.00,0.00,3,96,15,0,95,8.5,27,28,12.1,22.3,1,3600.00,1027.3,963.1
2019-12-02T16:00,2.1,0.00,71,-2.7,-1.2,0.00,0.00,0.00,3,81,47,0,66,5.4,6,4,10.9,18.4,1,1531.55,1027.8,963.5
2019-12-02T17:00,-0.1,0.00,82,-2.8,-3.3,0.00,0.00,0.00,3,80,79,0,7,5.2,343,326,10.9,10.4,0,0.00,1028.1,963.3
2019-12-02T18:00,-0.9,0.00,85,-3.2,-4.5,0.00,0.00,0.00,1,43,40,0,5,7.4,322,309,12.8,13.0,0,0.00,1028.2,963.2
2019-12-02T19:00,-1.6,0.00,89,-3.2,-5.4,0.00,0.00,0.00,1,32,4,0,30,8.3,317,304,15.3,15.5,0,0.00,1028.5,963.3
2019-12-02T20:00,-1.5,0.00,87,-3.5,-5.1,0.00,0.00,0.00,1,49,18,0,37,6.4,323,297,11.3,15.5,0,0.00,1029.3,964.0
2019-12-02T21:00,-1.5,0.00,86,-3.6,-4.8,0.00,0.00,0.00,2,76,0,0,76,4.3,305,265,7.5,11.9,0,0.00,1029.4,964.1
2019-12-02T22:00,-0.9,0.00,84,-3.2,-4.1,0.00,0.00,0.00,1,42,0,1,42,4.8,270,243,7.2,10.4,0,0.00,1029.6,964.5
2019-12-02T23:00,-1.8,0.00,89,-3.3,-5.2,0.00,0.00,0.00,2,67,0,0,67,5.9,237,223,9.9,11.2,0,0.00,1029.7,964.4
2019-12-03T00:00,-1.3,0.00,87,-3.2,-5.1,0.00,0.00,0.00,3,90,0,0,90,8.1,230,225,12.3,14.4,0,0.00,1030.0,964.8
2019-12-03T01:00,-0.8,0.00,87,-2.7,-4.2,0.00,0.00,0.00,3,99,0,0,98,6.4,233,227,7.2,15.8,0,0.00,1030.0,964.9
2019-12-03T02:00,-0.2,0.00,85,-2.4,-3.2,0.00,0.00,0.00,3,99,55,0,97,4.0,270,260,4.3,12.2,0,0.00,1030.2,965.2
2019-12-03T03:00,0.1,0.00,86,-2.0,-2.8,0.00,0.00,0.00,3,95,1,1,95,3.4,297,252,3.2,7.6,0,0.00,1030.3,965.4
2019-12-03T04:00,0.2,0.00,88,-1.6,-2.5,0.00,0.00,0.00,3,84,0,2,84,2.6,304,236,2.6,6.5,0,0.00,1030.1,965.2
2019-12-03T05:00,-0.3,0.00,92,-1.4,-3.0,0.00,0.00,0.00,2,73,0,0,73,2.6,307,236,1.8,5.0,0,0.00,1030.1,965.1
2019-12-03T06:00,-0.8,0.00,94,-1.7,-3.6,0.00,0.00,0.00,2,66,0,1,66,2.9,346,263,3.0,5.0,0,0.00,1029.9,964.8
2019-12-03T07:00,-0.9,0.00,94,-1.8,-3.7,0.00,0.00,0.00,2,53,0,1,53,2.6,301,254,2.1,4.7,0,0.00,1029.9,964.8
2019-12-03T08:00,-1.8,0.00,94,-2.5,-4.8,0.00,0.00,0.00,1,41,0,1,41,3.7,207,241,0.8,5.8,1,0.00,1030.5,965.1
