operator_name,domain_name,domain_id,counter_site,counter_site_id,counter_serial,longitude,latitude,timezone,iso_timestamp,channels_in,channels_out,channels_unknown,channels_all,site_temperature,site_rain_accumulation,site_snow_accumulation
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T00:00:00+01:00,0,0,na,0,8.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T01:00:00+01:00,0,0,na,0,8.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T02:00:00+01:00,0,0,na,0,7.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T03:00:00+01:00,0,0,na,0,7.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T04:00:00+01:00,0,0,na,0,7.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T05:00:00+01:00,0,0,na,0,7.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T06:00:00+01:00,0,0,na,0,7.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T07:00:00+01:00,0,0,na,0,7.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T08:00:00+01:00,0,0,na,0,9.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T09:00:00+01:00,0,0,na,0,10.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T10:00:00+01:00,3,2,na,5,12.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T11:00:00+01:00,3,5,na,8,13.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T12:00:00+01:00,3,7,na,10,14.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T13:00:00+01:00,13,12,na,25,14.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T14:00:00+01:00,10,10,na,20,14.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T15:00:00+01:00,5,10,na,15,13.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T16:00:00+01:00,2,8,na,10,12.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T17:00:00+01:00,2,1,na,3,11.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T18:00:00+01:00,0,0,na,0,10.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T19:00:00+01:00,0,0,na,0,9.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T20:00:00+01:00,0,0,na,0,9.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T21:00:00+01:00,0,0,na,0,9.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T22:00:00+01:00,0,0,na,0,8.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-01T23:00:00+01:00,0,0,na,0,8.0,0.0,na
Eco Counter GmbH,Landratsamt Ostalbkreis,9187,OAK-04: Obergröningen-Algishofen,300043250,ZLT24040759,9.908901,48.911324,(UTC+01:00) Europe/Paris DST,2024-11-02T00:00:00+01:00,0,0,na,0,8.0,0.0,na
