operator_name,domain_name,domain_id,counter_site,counter_site_id,counter_serial,longitude,latitude,timezone,iso_timestamp,channels_in,channels_out,channels_unknown,channels_all,site_temperature,site_rain_accumulation,site_snow_accumulation
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T00:00:00+01:00,na,na,247,247,9.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T01:00:00+01:00,na,na,244,244,9.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T02:00:00+01:00,na,na,225,225,8.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T03:00:00+01:00,na,na,145,145,8.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T04:00:00+01:00,na,na,112,112,8.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T05:00:00+01:00,na,na,64,64,8.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T06:00:00+01:00,na,na,67,67,8.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T07:00:00+01:00,na,na,53,53,8.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T08:00:00+01:00,na,na,90,90,9.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T09:00:00+01:00,na,na,132,132,11.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T10:00:00+01:00,na,na,224,224,12.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T11:00:00+01:00,na,na,247,247,14.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T12:00:00+01:00,na,na,277,277,15.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T13:00:00+01:00,na,na,359,359,16.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T14:00:00+01:00,na,na,446,446,16.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T15:00:00+01:00,na,na,464,464,15.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T16:00:00+01:00,na,na,507,507,14.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T17:00:00+01:00,na,na,529,529,13.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T18:00:00+01:00,na,na,417,417,11.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T19:00:00+01:00,na,na,340,340,11.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T20:00:00+01:00,na,na,204,204,11.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T21:00:00+01:00,na,na,209,209,10.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T22:00:00+01:00,na,na,220,220,10.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-01T23:00:00+01:00,na,na,203,203,9.0,0.0,na
Eco Counter GmbH,Stadt Freiburg,751,Wiwilibrücke,100004595,YTH23035971,7.8407526,47.995213,(UTC+01:00) Europe/Paris DST,2024-11-02T00:00:00+01:00,na,na,124,124,8.0,0.0,na
