operator_name,domain_name,domain_id,counter_site,counter_site_id,counter_serial,longitude,latitude,timezone,iso_timestamp,channels_in,channels_out,channels_unknown,channels_all,site_temperature,site_rain_accumulation,site_snow_accumulation
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T00:00:00+01:00,na,na,2,2,7.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T01:00:00+01:00,na,na,1,1,7.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T02:00:00+01:00,na,na,1,1,7.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T03:00:00+01:00,na,na,2,2,7.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T04:00:00+01:00,na,na,1,1,7.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T05:00:00+01:00,na,na,1,1,6.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T06:00:00+01:00,na,na,5,5,6.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T07:00:00+01:00,na,na,5,5,7.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T08:00:00+01:00,na,na,8,8,9.0,0.0,na
Eco Counter GmbH,Stadt Lörrach,3938,Berliner Platz,100008949,YAH23060720,7.65936,47.61974,(UTC+01:00) Europe/Paris DST,2024-11-01T09:00:00+01:00,na,na,17,17,11.0,0.0,na
