operator_name,domain_name,domain_id,counter_site,counter_site_id,counter_serial,longitude,latitude,timezone,iso_timestamp,channels_in,channels_out,channels_unknown,channels_all,site_temperature,site_rain_accumulation,site_snow_accumulation
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T00:00:00+01:00,6,7,na,13,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T01:00:00+01:00,0,6,na,6,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T02:00:00+01:00,1,4,na,5,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T03:00:00+01:00,1,3,na,4,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T04:00:00+01:00,0,3,na,3,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T05:00:00+01:00,5,3,na,8,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T06:00:00+01:00,3,2,na,5,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T07:00:00+01:00,2,3,na,5,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T08:00:00+01:00,6,3,na,9,9.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T09:00:00+01:00,7,2,na,9,10.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T10:00:00+01:00,19,11,na,30,12.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T11:00:00+01:00,26,35,na,61,13.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T12:00:00+01:00,20,26,na,46,13.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T13:00:00+01:00,43,39,na,82,14.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T14:00:00+01:00,58,83,na,141,14.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T15:00:00+01:00,39,52,na,91,13.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T16:00:00+01:00,25,33,na,58,11.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T17:00:00+01:00,27,29,na,56,10.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T18:00:00+01:00,13,11,na,24,9.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T19:00:00+01:00,16,15,na,31,8.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T20:00:00+01:00,6,10,na,16,8.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T21:00:00+01:00,6,10,na,16,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T22:00:00+01:00,6,9,na,15,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-01T23:00:00+01:00,6,5,na,11,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-02T00:00:00+01:00,1,9,na,10,7.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-02T01:00:00+01:00,1,1,na,2,6.0,0.0,na
Eco Counter GmbH,Stadt Reutlingen,7581,Tübinger Tor,300017238,YTH20114603,9.20907497406006,48.49084982246364,(UTC+01:00) Europe/Paris DST,2024-11-02T02:00:00+01:00,5,0,na,5,6.0,0.0,na
