date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,5.2,-1.2,11.7,0,,,20.3,,1023.6,
2025-01-02 00:00:00,4.6,0.4,8,13,,,21.9,,1015.6,
2025-01-03 00:00:00,-0.9,-4.3,0.7,0,,,13.5,,1023.1,
2025-01-04 00:00:00,-3,-6,0.7,0,,,6,,1021.8,
2025-01-05 00:00:00,4.7,-1.5,8,7.3,,,20.3,,1005.2,
2025-01-06 00:00:00,7.1,3.8,12.6,4.4,,,21.3,,998.6,
2025-01-07 00:00:00,3.7,1.8,5.3,1.1,,,21,,1006.8,
2025-01-08 00:00:00,3,0.8,9.6,15.9,,,14,,1006,
2025-01-09 00:00:00,6.7,0.2,10.6,6,,,25.8,,1004.1,
2025-01-10 00:00:00,-0.5,-4.5,3.1,0,,,11.5,,1020.7,
2025-01-11 00:00:00,-3.2,-5.3,0.1,0,,,5.9,,1026.8,
2025-01-12 00:00:00,-2.1,-5.3,0.5,0,,,7.9,,1037.2,
2025-01-13 00:00:00,-3.7,-7.4,0.2,0,,,8.2,,1040.9,
2025-01-14 00:00:00,-3.6,-8.8,4.3,0,,,4.4,,1036.2,
2025-01-15 00:00:00,-0.1,-4.2,1.9,0.1,,,5.5,,1033.6,
2025-01-16 00:00:00,0.5,-2.4,4.3,0,,,10.3,,1035.8,
2025-01-17 00:00:00,-0.9,-3,3.2,0,,,5.8,,1036.8,
2025-01-18 00:00:00,-0.7,-4.5,3.6,0,,,5.7,,1031.1,
2025-01-19 00:00:00,-1.2,-5.2,5.8,0,,,4,,1023.4,
2025-01-20 00:00:00,0.4,-2.5,7.5,0,,,4.1,,1020.4,
2025-01-21 00:00:00,-0.3,-4.1,8.3,0,,,5.6,,1018.3,
2025-01-22 00:00:00,0.9,-4.7,8.4,0.3,,,10.3,,1010.9,
2025-01-23 00:00:00,3.9,0.9,7.5,1.5,,,19.6,,1010,
2025-01-24 00:00:00,6.5,1.1,11.4,0,,,16.9,,1013,
2025-01-25 00:00:00,7.9,4.2,11.4,0,,,13.8,,1009.4,
2025-01-26 00:00:00,5.5,2.5,7.6,0,,,19.3,,1010.3,
2025-01-27 00:00:00,7.6,5.1,11.6,4.7,,,23.7,,1001.6,
2025-01-28 00:00:00,5.4,3.5,8,2.5,,,16.6,,1000.5,
2025-01-29 00:00:00,4.8,-0.6,8.2,1.1,,,18.9,,1009.4,
2025-01-30 00:00:00,3.2,-1.5,9.2,0.1,,,8.5,,1016.5,
2025-01-31 00:00:00,1.5,-3,4.3,1.1,,,8.2,,1028.7,
2025-02-01 00:00:00,-0.7,-3.7,4.6,0,,,9.8,,1029.6,
2025-02-02 00:00:00,-0.9,-4.3,4.8,0,,,4.3,,1025.6,
2025-02-03 00:00:00,-1.2,-4.6,4.9,0,,,4.5,,1028.5,
2025-02-04 00:00:00,-1.2,-4.8,4.8,0,,,4.1,,1030.8,
2025-02-05 00:00:00,-0.4,-4.6,7,0,,,6,,1037.9,
2025-02-06 00:00:00,0.4,-0.4,1.3,0.1,,,12.3,,1037.3,
2025-02-07 00:00:00,1,-2.9,5.1,0,,,10.5,,1026.7,
2025-02-08 00:00:00,0.6,-4,10.4,0,,,6.3,,1022.9,
2025-02-09 00:00:00,1.1,-3.5,7.4,0,,,6.9,,1027.3,
2025-02-10 00:00:00,1.9,-2.4,7.9,3.5,,,5.4,,1024.4,
2025-02-11 00:00:00,4.2,1.9,6.1,7,,,7.9,,1021.3,
2025-02-12 00:00:00,7.2,5.5,10.9,7.9,,,11.9,,1017.4,
2025-02-13 00:00:00,2.6,-0.8,6.3,14.2,,,9.7,,1018,
2025-02-14 00:00:00,-2,-3.5,0.1,0.8,,,9.4,,1025.2,
2025-02-15 00:00:00,-1.2,-4.9,3,0,,,7.9,,1023.5,
2025-02-16 00:00:00,-0.8,-3.2,1.9,0,,,8,,1019.4,
2025-02-17 00:00:00,-2,-5.5,3.6,0,,,7.7,,1022.4,
2025-02-18 00:00:00,-2.4,-7.1,4.2,0,,,9.3,,1025,
2025-02-19 00:00:00,-1,-5.4,6.9,0,,,7,,1025.3,
2025-02-20 00:00:00,4.6,-2.1,14.2,0,,,9.3,,1025.9,
2025-02-21 00:00:00,6.3,1.1,15.8,0,,,7.6,,1024,
2025-02-22 00:00:00,6.3,0,14.3,0,,,8,,1021.2,
2025-02-23 00:00:00,7,1.8,12.2,0,,,7.2,,1029.6,
2025-02-24 00:00:00,6.5,0.7,12.5,0,,,10.9,,1025.1,
2025-02-25 00:00:00,7.7,4.6,11.3,4,,,10.8,,1015.5,
2025-02-26 00:00:00,4.3,1,7.2,0,,,17.6,,1017.9,
2025-02-27 00:00:00,3.2,0.6,8,0.9,,,14.1,,1019.7,
2025-02-28 00:00:00,2.1,-0.9,6.3,1.8,,,11.2,,1024,
2025-03-01 00:00:00,1.8,-1.7,6.2,0,,,12.4,,1029.3,
2025-03-02 00:00:00,1.8,-3.3,8.5,0,,,11.2,,1032.2,
2025-03-03 00:00:00,2,-3.4,10.5,0,,,4.9,,1029.2,
2025-03-04 00:00:00,2.1,-3.5,11.5,0,,,5,,1027,
2025-03-05 00:00:00,3.4,-3.2,14,0,,,6.3,,1025.8,
2025-03-06 00:00:00,4.3,-2.3,15,0,,,7.2,,1022.7,
2025-03-07 00:00:00,4.7,-1.4,14.5,0,,,6.8,,1019.5,
2025-03-08 00:00:00,4.6,-1.4,14.9,0,,,7.2,,1013.9,
2025-03-09 00:00:00,5.6,-1,16.3,0,,,6.2,,1005.4,
2025-03-10 00:00:00,4.6,-0.2,10,0.8,,,10.8,,1002.3,
2025-03-11 00:00:00,5.4,0.3,13.7,0.6,,,8.4,,1002.9,
2025-03-12 00:00:00,3.4,1.2,5.8,5.7,,,6,,999.4,
2025-03-13 00:00:00,3.1,1.5,4.9,1.4,,,6.7,,998.2,
2025-03-14 00:00:00,3,0.4,6,0,,,8,,1005.5,
2025-03-15 00:00:00,,,,0,,,,,,
2025-03-16 00:00:00,,,,0,,,,,,
2025-03-17 00:00:00,,,,0,,,,,,
2025-03-18 00:00:00,,,,0,,,,,,
2025-03-19 00:00:00,,,,0,,,,,,
2025-03-20 00:00:00,,,,0,,,,,,
2025-03-21 00:00:00,,,,0,,,,,,
