time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-11-01 00:00:00,8.6,8.5,99,0,,61,4.3,,1026.7,,3
2024-11-01 01:00:00,8.3,8,98,0,,62,3.6,,1026.6,,5
2024-11-01 02:00:00,9.1,8.6,97,0,,104,4,,1026.4,,5
2024-11-01 03:00:00,8.8,8.5,98,0,,168,4.7,,1026.3,,5
2024-11-01 04:00:00,9.1,8.6,97,0,,174,6.1,,1026.1,0,5
2024-11-01 05:00:00,8.8,8.5,98,0,,168,6.1,,1026.1,0,5
2024-11-01 06:00:00,8.7,8.3,97,0,,166,7.2,,1026.1,0,5
2024-11-01 07:00:00,9.9,9.6,98,0,,178,7.2,,1026.1,0,5
2024-11-01 08:00:00,10.1,9.2,94,0,,192,9,,1026.3,0,3
2024-11-01 09:00:00,10.2,8.5,89,0,,209,10.1,,1026.7,0,3
2024-11-01 10:00:00,10.6,8.5,87,0,,211,10.8,,1026.6,0,3
2024-11-01 11:00:00,11.3,8.5,83,0,,216,10.4,,1026.4,0,3
2024-11-01 12:00:00,11.7,8.9,83,0,,224,8.6,,1026,0,3
2024-11-01 13:00:00,12.3,8.9,80,0,,223,9,,1025.4,0,3
2024-11-01 14:00:00,12.9,9.2,78,0,,226,9.7,,1024.8,0,3
2024-11-01 15:00:00,13.3,9.2,76,0,,238,9,,1024.6,0,3
2024-11-01 16:00:00,13.2,9.8,80,0,,236,6.8,,1024.2,0,3
2024-11-01 17:00:00,12.5,10.2,86,0,,259,5.4,,1024.5,0,3
2024-11-01 18:00:00,12,10.1,88,0,,282,6.5,,1025,0,3
2024-11-01 19:00:00,11.6,9.8,89,0,,282,7.9,,1025.6,0,3
2024-11-01 20:00:00,10.2,9.3,94,0,,262,9,,1025.9,0,3
2024-11-01 21:00:00,9,8.2,95,0,,270,9,,1026.3,0,2
2024-11-01 22:00:00,7.3,6.6,95,0,,307,8.3,,1026.8,,3
2024-11-01 23:00:00,8.4,7.3,93,0,,329,6.1,,1027.2,,2
2024-11-02 00:00:00,7,6.3,95,0,,1,6.5,,1027.5,,2
2024-11-02 01:00:00,7.9,7.1,95,0,,10,6.1,,1027.6,,3
2024-11-02 02:00:00,8.7,7.8,94,0,,2,5.8,,1027.7,,3
2024-11-02 03:00:00,7.7,7.1,96,0,,11,5.8,,1027.9,,3
2024-11-02 04:00:00,8.2,7.4,95,0,,23,5,,1027.9,0,3
2024-11-02 05:00:00,8.5,7.4,93,0,,30,6.1,,1028.4,0,3
2024-11-02 06:00:00,8.3,7.2,93,0,,41,6.1,,1028.8,0,3
2024-11-02 07:00:00,9,7.4,90,0,,72,5.4,,1028.9,0,3
2024-11-02 08:00:00,9.2,7.6,90,0,,83,5.8,,1029.8,0,3
2024-11-02 09:00:00,9.8,7.9,88,0,,74,4.7,,1030.5,0,3
2024-11-02 10:00:00,10.4,7.8,84,0,,63,6.8,,1030.8,0,3
2024-11-02 11:00:00,11.2,7.9,80,0,,75,7.6,,1030.9,50,3
2024-11-02 12:00:00,11.8,8.1,78,0,,68,6.8,,1030.7,60,3
2024-11-02 13:00:00,12.8,8.1,73,0,,70,12.2,,1030,60,3
2024-11-02 14:00:00,13,8.3,73,0,,75,11.5,,1029.6,58,3
2024-11-02 15:00:00,13.2,8.5,73,0,,69,11.2,,1029.2,60,3
2024-11-02 16:00:00,12.9,8.8,76,0,,58,8.3,,1029.2,60,3
2024-11-02 17:00:00,12.3,8.8,79,0,,47,8.3,,1029.4,10,3
2024-11-02 18:00:00,11.7,8.7,82,0,,54,8.3,,1029.8,0,3
2024-11-02 19:00:00,11.4,8.6,83,0,,52,8.6,,1030.1,0,3
2024-11-02 20:00:00,11.1,8.7,85,0,,60,8.6,,1030.1,0,3
2024-11-02 21:00:00,11.1,8.5,84,0,,52,7.9,,1030.4,0,3
2024-11-02 22:00:00,11.3,8.3,82,0,,48,8.6,,1030.7,,3
2024-11-02 23:00:00,9.6,7.7,88,0,,54,9.4,,1031,,3
2024-11-03 00:00:00,10.3,7.9,85,0,,68,10.1,,1030.9,,3
2024-11-03 01:00:00,9.5,7.8,89,0,,81,9.4,,1030.8,,3
2024-11-03 02:00:00,9.3,7.1,86,0,,77,11.2,,1031,,3
2024-11-03 03:00:00,8.8,6.2,84,0,,94,9,,1030.5,,3
2024-11-03 04:00:00,9.1,6.4,83,0,,81,10.4,,1030.3,0,3
2024-11-03 05:00:00,9.5,6.2,80,0,,84,11.2,,1030,0,3
2024-11-03 06:00:00,9.4,6.1,80,0,,75,11.2,,1030.1,0,3
2024-11-03 07:00:00,8.6,6.1,84,0,,85,11.2,,1030.2,0,3
2024-11-03 08:00:00,8.5,6.1,85,0,,85,11.9,,1030.6,0,2
2024-11-03 09:00:00,9.7,7.1,84,0,,90,10.4,,1030.8,36,3
2024-11-03 10:00:00,11.3,7.6,78,0,,101,10.8,,1030.6,60,2
2024-11-03 11:00:00,12.5,7.8,73,0,,117,13.3,,1030.6,60,2
