time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-11-01 00:00:00,11.1,9.5,90,0,0,200,5,13,1027.1,0,3
2024-11-01 01:00:00,11,9.6,91,0,0,130,3.6,8,1026.6,0,3
2024-11-01 02:00:00,11,9.6,91,0,0,50,2.5,6,1026.4,0,4
2024-11-01 03:00:00,11,9.6,91,0,0,300,1.8,4,1026.2,0,3
2024-11-01 04:00:00,11.1,9.5,90,0,0,190,5,13,1026,0,3
2024-11-01 05:00:00,10.7,9.3,91,0,0,180,7.9,12,1026.1,0,7
2024-11-01 06:00:00,10.5,8.9,90,0,0,210,6.8,13,1026,0,7
2024-11-01 07:00:00,10.2,9.3,94,0,0,230,5.4,10,1025.8,0,7
2024-11-01 08:00:00,10.3,8.7,90,0,0,200,6.1,15,1026,0,7
2024-11-01 09:00:00,10.2,8.8,91,0,0,210,8.3,15,1026.3,0,7
2024-11-01 10:00:00,10.4,8.7,89,0,0,200,9,17,1026.2,0,7
2024-11-01 11:00:00,10.8,8.9,88,0,0,200,7.6,17,1026.2,0,4
2024-11-01 12:00:00,10.9,8.6,86,0,0,200,9,16,1026,0,7
2024-11-01 13:00:00,10.8,8.7,87,0,0,210,10.4,19,1025.6,0,3
2024-11-01 14:00:00,11.1,8.3,83,0,0,200,10.4,19,1025.2,0,4
2024-11-01 15:00:00,11.3,8.5,83,0,0,220,8.3,14,1025,0,4
2024-11-01 16:00:00,11.5,8.5,82,0,0,210,6.5,10,1024.7,0,4
2024-11-01 17:00:00,11.4,8.3,81,0,0,200,6.8,11,1024.6,0,4
2024-11-01 18:00:00,11.2,8.9,86,0,0,200,4.3,10,1025,0,4
2024-11-01 19:00:00,11.1,8.1,82,0,0,270,4,15,1025.6,0,4
2024-11-01 20:00:00,10.9,7.6,80,0,0,320,6.8,12,1026.1,0,4
2024-11-01 21:00:00,10.7,7.8,82,0,0,320,5.4,9,1026.6,0,4
2024-11-01 22:00:00,10.7,7.6,81,0,0,330,4.7,8,1026.9,0,4
2024-11-01 23:00:00,10.6,7.3,80,0,0,340,5.8,9,1027.1,0,4
2024-11-02 00:00:00,10.5,7.2,80,0,0,350,5.4,12,1027.7,0,4
2024-11-02 01:00:00,10.5,7.4,81,0,0,340,5.4,14,1027.7,0,4
2024-11-02 02:00:00,10.4,7.5,82,0,0,360,4,8,1027.9,0,4
2024-11-02 03:00:00,10.2,7.8,85,0,0,30,2.5,5,1027.8,0,4
2024-11-02 04:00:00,9.9,8.3,90,0,0,40,1.1,3,1028,0,4
2024-11-02 05:00:00,9.9,7.8,87,0,0,70,3.2,7,1028.4,0,4
2024-11-02 06:00:00,9.8,8.1,89,0,0,20,4.3,9,1028.6,0,4
2024-11-02 07:00:00,9.9,8.2,89,0,0,30,1.4,4,1028.9,0,4
2024-11-02 08:00:00,10.1,8,87,0,0,350,3.6,7,1029.6,0,4
2024-11-02 09:00:00,10.4,8.2,86,0,0,360,4.3,8,1030.3,0,4
2024-11-02 10:00:00,11.2,7.9,80,0,0,30,5.8,10,1030.8,0,4
2024-11-02 11:00:00,11.6,7.9,78,0,0,30,6.1,11,1030.6,0,4
2024-11-02 12:00:00,11.8,8.1,78,0,0,20,7.9,14,1030.5,0,4
2024-11-02 13:00:00,12,8.3,78,0,0,10,9,14,1030.2,0,4
