time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),snow_depth (m),snowfall (cm),weather_code (wmo code),cloud_cover (%),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%),wind_speed_10m (km/h),wind_direction_100m (°),wind_direction_10m (°),wind_speed_100m (km/h),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),pressure_msl (hPa),surface_pressure (hPa)
2019-12-01T00:00,2.5,0.00,59,-4.7,-0.7,0.00,0.00,0.00,3,100,100,82,0,3.0,102,104,7.0,9.7,0,0.00,1019.7,983.3
2019-12-01T01:00,2.0,0.00,66,-3.7,-2.0,0.00,0.00,0.00,3,100,99,43,0,9.6,109,124,22.1,10.1,0,0.00,1019.3,982.9
2019-12-01T02:00,2.0,0.00,67,-3.4,-1.5,0.00,0.00,0.00,3,99,99,21,0,6.0,136,163,15.5,19.4,0,0.00,1019.1,982.7
2019-12-01T03:00,2.0,0.00,67,-3.4,-1.7,0.00,0.00,0.00,3,100,100,85,0,7.6,116,121,18.0,15.8,0,0.00,1018.8,982.4
2019-12-01T04:00,2.8,0.00,61,-4.1,-1.7,0.00,0.00,0.00,3,100,100,97,0,12.1,110,117,23.8,23.4,0,0.00,1017.4,981.2
2019-12-01T05:00,3.3,0.00,57,-4.4,-0.9,0.00,0.00,0.00,3,100,99,90,0,10.1,112,125,21.3,25.9,0,0.00,1016.3,980.2
2019-12-01T06:00,3.1,0.00,59,-4.0,-0.6,0.00,0.00,0.00,3,100,100,100,0,7.4,109,119,17.5,20.5,0,0.00,1015.8,979.7
2019-12-01T07:00,3.5,0.00,57,-4.2,0.4,0.00,0.00,0.00,3,100,99,100,0,3.2,104,153,7.4,15.1,0,0.00,1015.5,979.4
2019-12-01T08:00,2.4,0.00,78,-1.1,-0.3,0.00,0.00,0.00,3,100,100,90,0,2.6,243,254,0.8,6.1,1,0.00,1015.7,979.5
2019-12-01T09:00,2.2,0.10,74,-1.9,-0.6,0.00,0.00,0.07,71,99,98,95,0,3.2,265,270,4.3,14.8,1,0.00,1016.3,980.0
2019-12-01T10:00,1.9,0.20,81,-1.1,-1.3,0.00,0.00,0.14,71,100,97,100,0,6.2,268,263,9.0,13.7,1,0.00,1016.8,980.5
2019-12-01T11:00,2.1,0.20,81,-0.8,-0.7,0.10,0.00,0.07,71,100,100,100,0,3.7,240,241,5.0,13.0,1,0.00,1016.8,980.5
2019-12-01T12:00,2.3,0.10,79,-1.0,-0.2,0.10,0.00,0.00,51,100,100,100,0,1.5,189,194,2.2,13.3,1,0.00,1017.3,981.0
2019-12-01T13:00,3.7,0.20,78,0.2,0.7,0.10,0.00,0.07,71,100,13,2,20,6.1,88,87,8.3,10.8,1,0.00,1017.0,980.9
2019-12-01T14:00,5.0,0.10,73,0.5,2.4,0.10,0.00,0.00,51,100,27,100,25,4.3,79,85,5.9,17.3,1,3600.00,1016.4,980.5
2019-12-01T15:00,5.2,0.00,72,0.6,2.8,0.00,0.00,0.00,3,100,47,99,97,2.9,288,270,3.4,12.6,1,2658.65,1016.3,980.4
2019-12-01T16:00,4.9,0.00,77,1.2,2.5,0.00,0.00,0.00,3,100,82,100,99,3.1,321,306,5.1,8.6,1,0.00,1016.9,980.9
2019-12-01T17:00,4.7,0.00,79,1.4,2.6,0.00,0.00,0.00,3,100,90,100,95,1.6,50,27,2.8,6.8,0,0.00,1016.9,980.9
2019-12-01T18:00,4.4,0.00,84,1.9,2.3,0.00,0.00,0.00,3,100,49,100,98,1.8,153,233,2.4,3.6,0,0.00,1017.1,981.1
2019-12-01T19:00,4.3,0.00,84,1.8,2.1,0.00,0.00,0.00,3,100,62,100,98,2.5,85,90,4.3,3.2,0,0.00,1017.2,981.2
2019-12-01T20:00,4.1,0.00,87,2.1,2.0,0.00,0.00,0.00,3,100,100,100,99,2.1,108,121,4.6,3.2,0,0.00,1017.4,981.3
2019-12-01T21:00,4.2,0.10,84,1.7,2.0,0.10,0.00,0.00,51,100,100,98,99,2.2,107,99,4.9,4.0,0,0.00,1017.6,981.5
2019-12-01T22:00,3.9,0.10,87,2.0,1.6,0.10,0.00,0.00,51,100,98,89,100,3.3,23,347,5.5,5.8,0,0.00,1017.9,981.8
2019-12-01T23:00,3.6,0.10,90,2.1,0.9,0.10,0.00,0.00,51,100,56,98,99,6.3,347,329,11.4,11.9,0,0.00,1018.2,982.0
2019-12-02T00:00,3.5,0.10,91,2.1,1.0,0.10,0.00,0.00,51,100,4,100,99,5.4,327,290,10.7,12.6,0,0.00,1018.9,982.7
2019-12-02T01:00,3.5,0.00,91,2.1,1.0,0.00,0.00,0.00,3,99,10,92,88,4.6,290,252,7.3,15.8,0,0.00,1019.6,983.4
2019-12-02T02:00,3.1,0.00,91,1.8,-0.0,0.00,0.00,0.00,3,100,0,100,69,8.8,301,289,13.9,17.3,0,0.00,1020.1,983.8
2019-12-02T03:00,2.4,0.00,91,1.1,-0.7,0.00,0.00,0.00,3,94,0,93,48,8.0,316,297,13.0,19.4,0,0.00,1020.5,984.1
2019-12-02T04:00,1.9,0.00,91,0.6,-1.4,0.00,0.00,0.00,2,74,0,73,39,8.9,313,297,15.3,18.4,0,0.00,1021.2,984.7
2019-12-02T05:00,1.4,0.00,92,0.2,-2.1,0.00,0.00,0.00,2,74,0,61,57,10.1,326,305,17.9,20.9,0,0.00,1021.9,985.3
2019-12-02T06:00,1.3,0.00,91,-0.0,-2.0,0.00,0.00,0.00,3,86,0,60,82,7.9,330,300,15.0,20.5,0,0.00,1021.8,985.2
2019-12-02T07:00,1.4,0.00,89,-0.3,-1.6,0.00,0.00,0.00,2,65,0,63,32,5.7,320,288,11.2,16.2,0,0.00,1022.4,985.8
2019-12-02T08:00,1.3,0.00,90,-0.1,-1.2,0.00,0.00,0.00,3,91,0,90,34,2.3,307,252,5.4,11.9,1,0.00,1023.6,986.9
2019-12-02T09:00,1.7,0.00,88,-0.1,-1.1,0.00,0.00,0.00,3,93,0,89,67,4.5,260,241,6.2,10.8,1,0.00,1024.4,987.8
2019-12-02T10:00,2.1,0.00,84,-0.2,-0.5,0.00,0.00,0.00,3,96,0,91,86,3.2,280,270,4.0,11.2,1,291.25,1025.1,988.5
2019-12-02T11:00,2.7,0.00,82,-0.1,-0.0,0.00,0.00,0.00,3,100,0,72,100,4.2,302,290,5.5,11.9,1,0.00,1025.7,989.2
2019-12-02T12:00,3.6,0.00,77,-0.0,0.8,0.00,0.00,0.00,3,100,0,39,100,4.5,297,284,5.6,13.3,1,1800.11,1026.0,989.6
2019-12-02T13:00,3.3,0.00,82,0.5,-0.0,0.00,0.00,0.00,3,89,0,30,100,8.4,323,317,12.1,16.2,1,3600.00,1026.3,989.8
2019-12-02T14:00,3.9,0.00,76,-0.0,0.6,0.00,0.00,0.00,3,100,0,3,100,7.8,339,326,11.2,20.9,1,2838.28,1026.2,989.8
2019-12-02T15:00,4.0,0.00,73,-0.4,0.9,0.00,0.00,0.00,3,92,4,2,92,6.7,321,306,9.7,18.0,1,3600.00,1026.2,989.8
2019-12-02T16:00,3.0,0.00,79,-0.4,-0.2,0.00,0.00,0.00,2,64,38,2,43,7.0,321,305,12.5,15.1,1,3600.00,1026.9,990.3
