time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),snow_depth (m),snowfall (cm),weather_code (wmo code),cloud_cover (%),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%),wind_speed_10m (km/h),wind_direction_100m (°),wind_direction_10m (°),wind_speed_100m (km/h),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),pressure_msl (hPa),surface_pressure (hPa)
2019-12-01T00:00,-1.9,0.00,93,-2.9,-6.0,0.00,0.00,0.00,3,99,99,0,0,10.9,76,63,23.7,24.5,0,0.00,1022.5,962.5
2019-12-01T01:00,-1.8,0.00,88,-3.4,-5.5,0.00,0.00,0.00,3,100,100,0,0,7.9,85,66,19.9,21.2,0,0.00,1022.6,962.6
2019-12-01T02:00,-1.8,0.00,88,-3.5,-6.0,0.00,0.00,0.00,3,100,100,0,0,11.0,79,58,23.4,20.2,0,0.00,1022.3,962.3
2019-12-01T03:00,-1.5,0.00,86,-3.6,-5.9,0.00,0.00,0.00,3,100,100,0,0,12.3,72,58,25.0,25.6,0,0.00,1021.4,961.5
2019-12-01T04:00,-1.5,0.00,87,-3.5,-5.2,0.00,0.00,0.00,3,99,99,0,0,7.5,76,55,17.8,24.1,0,0.00,1021.3,961.4
2019-12-01T05:00,-1.5,0.00,87,-3.4,-5.7,0.00,0.00,0.00,3,99,99,1,0,10.9,74,56,21.8,20.5,0,0.00,1020.4,960.6
2019-12-01T06:00,-1.7,0.00,88,-3.4,-6.0,0.00,0.00,0.00,3,100,100,96,1,11.5,68,51,22.6,22.3,0,0.00,1019.8,960.0
2019-12-01T07:00,-1.5,0.00,87,-3.4,-5.9,0.00,0.00,0.00,3,100,100,97,2,12.5,69,57,23.5,24.5,0,0.00,1019.2,959.5
2019-12-01T08:00,-1.3,0.00,86,-3.4,-5.6,0.00,0.00,0.00,3,100,100,97,3,11.8,69,59,22.0,25.9,1,0.00,1018.8,959.1
2019-12-01T09:00,-0.9,0.00,85,-3.1,-5.2,0.00,0.00,0.00,3,100,100,100,4,11.8,62,50,21.6,23.4,1,0.00,1019.0,959.4
2019-12-01T10:00,-0.4,0.00,83,-3.0,-4.7,0.00,0.00,0.00,3,100,100,100,5,12.2,62,56,19.5,25.9,1,0.00,1018.7,959.2
2019-12-01T11:00,0.2,0.00,80,-2.9,-3.9,0.00,0.00,0.00,3,100,100,100,7,10.5,68,63,15.5,26.3,1,0.00,1018.3,959.0
2019-12-01T12:00,0.6,0.00,78,-2.8,-3.2,0.00,0.00,0.00,3,100,100,100,4,8.7,63,60,12.9,23.0,1,0.00,1017.9,958.7
2019-12-01T13:00,1.0,0.00,82,-1.8,-2.5,0.00,0.00,0.00,3,100,87,100,6,7.3,80,81,10.2,19.8,1,0.00,1018.1,959.0
2019-12-01T14:00,1.0,0.20,81,-1.9,-2.1,0.00,0.00,0.14,71,100,99,100,15,4.8,74,77,6.7,15.1,1,0.00,1017.8,958.7
2019-12-01T15:00,0.9,0.20,84,-1.5,-2.2,0.10,0.00,0.07,71,100,99,84,18,5.2,83,74,8.4,12.6,1,0.00,1017.7,958.6
2019-12-01T16:00,0.5,0.10,88,-1.3,-2.6,0.00,0.00,0.07,71,100,100,52,13,5.0,44,30,11.5,13.3,1,0.00,1017.8,958.6
2019-12-01T17:00,-1.1,0.00,92,-2.2,-4.5,0.00,0.00,0.00,3,100,100,100,14,6.4,55,38,10.1,9.0,0,0.00,1018.2,958.6
2019-12-01T18:00,0.2,0.00,90,-1.3,-2.7,0.00,0.00,0.00,3,100,100,100,8,4.2,84,70,9.8,9.0,0,0.00,1018.0,958.7
2019-12-01T19:00,0.2,0.10,91,-1.1,-2.4,0.00,0.00,0.07,71,100,99,100,31,2.2,77,9,4.8,8.3,0,0.00,1018.2,958.9
2019-12-01T20:00,0.1,0.10,92,-1.0,-2.7,0.00,0.00,0.07,71,100,100,100,54,3.6,29,6,3.7,6.8,0,0.00,1018.3,959.0
